x-axis,1,2,3
second,Volt,Volt,Volt
-11.35000E-03,+1.75625002E+00,+1.93750000E+00,+1.88124990E+00
-11.30000E-03,+1.78750002E+00,+1.93750000E+00,+1.84999990E+00
-11.25000E-03,+1.75625002E+00,+1.87500000E+00,+1.81874990E+00
-11.20000E-03,+1.66250002E+00,+1.84375000E+00,+1.78749990E+00
-11.15000E-03,+1.63125002E+00,+1.81250000E+00,+1.78749990E+00
-11.10000E-03,+1.63125002E+00,+1.78125000E+00,+1.72499990E+00
-11.05000E-03,+1.60000002E+00,+1.75000000E+00,+1.69374990E+00
-11.00000E-03,+1.53750002E+00,+1.71875000E+00,+1.63124990E+00
-10.95000E-03,+1.53750002E+00,+1.68750000E+00,+1.63124990E+00
-10.90000E-03,+1.50625002E+00,+1.62500000E+00,+1.56874990E+00
-10.85000E-03,+1.47500002E+00,+1.59375000E+00,+1.53749990E+00
-10.80000E-03,+1.38125002E+00,+1.59375000E+00,+1.50624990E+00
-10.75000E-03,+1.35000002E+00,+1.53125000E+00,+1.44374990E+00
-10.70000E-03,+1.35000002E+00,+1.53125000E+00,+1.41249990E+00
-10.65000E-03,+1.31875002E+00,+1.46875000E+00,+1.38124990E+00
-10.60000E-03,+1.28750002E+00,+1.43750000E+00,+1.34999990E+00
-10.55000E-03,+1.25625002E+00,+1.34375000E+00,+1.34999990E+00
-10.50000E-03,+1.19375002E+00,+1.31250000E+00,+1.28749990E+00
-10.45000E-03,+1.16250002E+00,+1.31250000E+00,+1.22499990E+00
-10.40000E-03,+1.10000002E+00,+1.28125000E+00,+1.19374990E+00
-10.35000E-03,+1.13125002E+00,+1.25000000E+00,+1.16249990E+00
-10.30000E-03,+1.06875002E+00,+1.18750000E+00,+1.13124990E+00
-10.25000E-03,+1.03750002E+00,+1.18750000E+00,+1.09999990E+00
-10.20000E-03,+1.00625002E+00,+1.12500000E+00,+1.03749990E+00
-10.15000E-03,+943.75002E-03,+1.09375000E+00,+1.06874990E+00
-10.10000E-03,+912.50002E-03,+1.09375000E+00,+1.00624990E+00
-10.05000E-03,+912.50002E-03,+1.06250000E+00,+974.99990E-03
-10.00000E-03,+912.50002E-03,+1.00000000E+00,+974.99990E-03
-9.95000E-03,+850.00002E-03,+1.00000000E+00,+912.49990E-03
-9.90000E-03,+850.00002E-03,+968.75000E-03,+881.24990E-03
-9.85000E-03,+818.75002E-03,+937.50000E-03,+849.99990E-03
-9.80000E-03,+787.50002E-03,+875.00000E-03,+818.74990E-03
-9.75000E-03,+756.25002E-03,+843.75000E-03,+787.49990E-03
-9.70000E-03,+818.75002E-03,+843.75000E-03,+787.49990E-03
-9.65000E-03,+756.25002E-03,+812.50000E-03,+724.99990E-03
-9.60000E-03,+756.25002E-03,+781.25000E-03,+756.24990E-03
